s,a,r,sp
426,7,0.0,426
426,2,0.0,426
426,2,0.0,426
426,7,0.0,426
426,7,0.0,426
426,7,0.0,426
426,7,0.0,426
426,7,0.0,426
426,7,0.0,426
426,7,0.0,426
426,7,0.0,426
426,7,0.0,426
426,1,0.0,426
426,1,0.0,426
426,1,0.0,426
426,2,0.0,426
426,2,0.0,426
426,2,0.0,426
426,2,0.0,426
426,2,0.0,426
426,2,0.0,426
426,2,0.0,426
426,2,0.0,426
426,2,0.0,251
251,1,1.0,752
364,14,0.0,364
364,4,0.0,663
663,24,0.0,364
364,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,24,0.0,535
535,19,0.0,535
535,14,0.0,364
364,14,0.0,663
663,14,0.0,663
663,20,0.0,535
535,25,0.0,535
535,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,412
412,1,1.0,752
622,1,0.0,622
622,1,0.0,285
285,1,0.0,285
285,1,0.0,285
285,1,0.0,285
285,1,0.0,285
285,1,0.0,21
21,1,0.0,21
21,1,0.0,21
21,1,0.0,21
21,1,0.0,242
242,11,0.0,21
21,24,0.0,21
21,24,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,56
56,25,0.0,518
518,25,0.0,692
692,22,0.0,678
678,22,0.0,678
678,17,0.0,658
658,7,0.0,132
132,17,0.0,132
132,2,0.0,132
132,5,0.0,546
546,2,0.0,546
546,2,0.0,546
546,2,0.0,546
546,2,0.0,546
546,3,0.0,299
299,1,0.0,192
192,1,0.0,356
356,1,0.0,237
237,1,-1.0,751
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,15,0.0,622
622,11,0.0,158
158,20,0.0,288
288,25,0.0,288
288,20,0.0,288
288,25,0.0,288
288,25,0.0,288
288,25,0.0,288
288,25,0.0,288
288,20,0.0,152
152,20,0.0,288
288,15,0.0,532
532,25,0.0,694
694,21,0.0,445
445,16,0.0,445
445,25,0.0,445
445,25,0.0,445
445,25,0.0,445
445,1,0.0,445
445,11,0.0,445
445,11,0.0,445
445,11,0.0,445
445,11,0.0,445
445,21,0.0,445
445,21,0.0,445
445,21,0.0,445
445,21,0.0,445
445,21,0.0,445
445,21,0.0,445
445,23,0.0,511
511,1,0.0,306
306,1,-1.0,751
606,25,0.0,542
542,25,0.0,606
606,22,0.0,606
606,22,0.0,606
606,21,0.0,213
213,21,0.0,606
606,25,0.0,606
606,25,0.0,606
606,25,0.0,606
606,21,0.0,606
606,10,0.0,606
606,6,0.0,746
746,10,0.0,746
746,10,0.0,746
746,10,0.0,746
746,10,0.0,746
746,7,0.0,176
176,10,0.0,746
746,7,0.0,746
746,7,0.0,746
746,7,0.0,746
746,7,0.0,746
746,7,0.0,746
746,7,0.0,746
746,7,0.0,746
746,7,0.0,746
746,7,0.0,746
746,2,0.0,746
746,2,0.0,746
746,2,0.0,746
746,2,0.0,746
746,2,0.0,585
585,2,0.0,585
585,2,0.0,585
585,1,0.0,183
183,1,0.0,715
715,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,613
613,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,1.0,752
88,1,0.0,88
88,1,0.0,88
88,1,0.0,88
88,1,0.0,88
88,1,0.0,88
88,5,0.0,88
88,5,0.0,643
643,5,0.0,643
643,10,0.0,643
643,14,0.0,643
643,12,0.0,643
643,17,0.0,643
643,12,0.0,643
643,7,0.0,643
643,10,0.0,643
643,7,0.0,643
643,5,0.0,643
643,2,0.0,643
643,2,0.0,677
677,2,0.0,643
643,2,0.0,643
643,2,0.0,643
643,2,0.0,643
643,3,0.0,643
643,2,0.0,643
643,2,0.0,643
643,5,0.0,643
643,2,0.0,643
643,2,0.0,643
643,2,0.0,188
188,2,0.0,188
188,2,0.0,188
188,2,0.0,362
362,2,0.0,362
362,2,0.0,362
362,2,0.0,362
362,2,0.0,362
362,2,0.0,362
362,2,0.0,362
362,2,0.0,362
362,2,0.0,749
749,4,0.0,362
362,5,0.0,480
480,4,0.0,480
480,2,0.0,749
749,1,0.0,362
362,1,0.0,362
362,1,0.0,362
362,1,0.0,362
362,1,0.0,362
362,1,0.0,70
70,1,0.0,749
749,1,0.0,70
70,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,687
687,1,0.0,70
70,1,0.0,70
70,1,0.0,70
70,1,0.0,70
70,1,0.0,70
70,1,0.0,70
70,1,0.0,420
420,1,0.0,611
611,1,1.0,752
703,11,0.0,95
95,9,0.0,95
95,14,0.0,95
95,21,0.0,95
95,11,0.0,680
680,21,0.0,529
529,25,0.0,529
529,21,0.0,529
529,25,0.0,529
529,21,0.0,513
513,25,0.0,513
513,24,0.0,529
529,1,0.0,513
513,25,0.0,612
612,21,0.0,513
513,25,0.0,513
513,24,0.0,612
612,1,0.0,617
617,21,0.0,617
617,23,0.0,617
617,23,0.0,612
612,21,0.0,612
612,23,0.0,617
617,21,0.0,612
612,23,0.0,617
617,21,0.0,612
612,3,0.0,612
612,3,0.0,612
612,23,0.0,614
614,1,0.0,614
614,4,0.0,614
614,3,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,501
501,2,0.0,501
501,2,0.0,614
614,2,0.0,729
729,2,0.0,729
729,2,0.0,614
614,2,0.0,501
501,1,0.0,501
501,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,1,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,2,0.0,614
614,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,501
501,1,0.0,269
269,1,-1.0,751
489,1,0.0,489
489,1,0.0,489
489,12,0.0,710
710,15,0.0,158
158,12,0.0,158
158,12,0.0,158
158,15,0.0,158
158,15,0.0,118
118,17,0.0,110
110,18,0.0,110
110,18,0.0,110
110,18,0.0,110
110,18,0.0,110
110,18,0.0,110
110,18,0.0,139
139,20,0.0,139
139,15,0.0,139
139,12,0.0,139
139,12,0.0,139
139,15,0.0,523
523,12,0.0,523
523,14,0.0,523
523,14,0.0,523
523,12,0.0,523
523,12,0.0,523
523,12,0.0,523
523,15,0.0,523
523,12,0.0,523
523,15,0.0,523
523,7,0.0,523
523,7,0.0,523
523,7,0.0,523
523,7,0.0,523
523,2,0.0,523
523,12,0.0,523
523,12,0.0,523
523,7,0.0,523
523,7,0.0,523
523,7,0.0,523
523,9,0.0,523
523,10,0.0,523
523,10,0.0,523
523,10,0.0,523
523,10,0.0,97
97,10,0.0,748
748,25,0.0,56
56,25,0.0,451
451,25,0.0,173
173,23,0.0,199
199,1,-1.0,751
611,1,0.0,611
611,1,0.0,611
611,1,0.0,611
611,1,0.0,467
467,1,0.0,467
467,1,0.0,185
185,1,0.0,641
641,1,0.0,641
641,1,0.0,687
687,1,0.0,338
338,1,0.0,338
338,6,0.0,338
338,11,0.0,338
338,11,0.0,320
320,12,0.0,338
338,12,0.0,338
338,12,0.0,320
320,12,0.0,338
338,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,563
563,1,0.0,563
563,13,0.0,563
563,7,0.0,563
563,7,0.0,563
563,7,0.0,563
563,7,0.0,563
563,7,0.0,673
673,7,0.0,563
563,7,0.0,563
563,7,0.0,463
463,7,0.0,463
463,2,0.0,463
463,2,0.0,463
463,2,0.0,563
563,2,0.0,563
563,12,0.0,673
673,2,0.0,563
563,7,0.0,463
463,7,0.0,320
320,7,0.0,463
463,7,0.0,463
463,7,0.0,463
463,7,0.0,563
563,7,0.0,563
563,6,0.0,463
463,8,0.0,563
563,7,0.0,463
463,2,0.0,463
463,2,0.0,375
375,2,0.0,375
375,2,0.0,375
375,2,0.0,375
375,2,0.0,463
463,2,0.0,463
463,2,0.0,150
150,2,0.0,237
237,2,0.0,463
463,2,0.0,463
463,2,0.0,463
463,2,0.0,463
463,2,0.0,463
463,2,0.0,333
333,1,-1.0,751
389,1,0.0,389
389,1,0.0,389
389,1,0.0,389
389,1,0.0,319
319,21,0.0,319
319,22,0.0,146
146,22,0.0,146
146,25,0.0,146
146,25,0.0,109
109,25,0.0,694
694,16,0.0,532
532,16,0.0,532
532,1,0.0,319
319,12,0.0,319
319,7,0.0,319
319,7,0.0,532
532,7,0.0,532
532,7,0.0,532
532,7,0.0,532
532,10,0.0,532
532,10,0.0,248
248,8,0.0,248
248,18,0.0,440
440,18,0.0,440
440,20,0.0,440
440,25,0.0,440
440,25,0.0,440
440,25,0.0,440
440,15,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,248
248,25,0.0,109
109,25,0.0,109
109,25,0.0,7
7,23,0.0,7
7,1,0.0,199
199,1,-1.0,751
503,1,0.0,503
503,1,0.0,503
503,1,0.0,503
503,1,0.0,503
503,1,0.0,503
503,1,0.0,244
244,6,0.0,244
244,10,0.0,419
419,7,0.0,419
419,7,0.0,419
419,15,0.0,419
419,7,0.0,419
419,7,0.0,419
419,7,0.0,419
419,7,0.0,419
419,7,0.0,419
419,7,0.0,419
419,10,0.0,419
419,2,0.0,419
419,2,0.0,419
419,2,0.0,419
419,2,0.0,419
419,2,0.0,419
419,2,0.0,134
134,2,0.0,134
134,2,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,419
419,1,0.0,355
355,1,1.0,752
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,710
710,5,0.0,668
668,1,0.0,715
715,1,0.0,715
715,1,0.0,710
710,5,0.0,710
710,5,0.0,668
668,1,0.0,449
449,10,0.0,668
668,1,0.0,411
411,1,0.0,181
181,25,0.0,715
715,1,0.0,181
181,25,0.0,181
181,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,10,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,5,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,598
598,1,1.0,752
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,1,0.0,622
622,2,0.0,389
389,5,0.0,431
431,4,0.0,431
431,4,0.0,55
55,25,0.0,55
55,10,0.0,55
55,18,0.0,55
55,24,0.0,55
55,25,0.0,55
55,25,0.0,55
55,21,0.0,55
55,25,0.0,55
55,25,0.0,55
55,25,0.0,55
55,25,0.0,55
55,25,0.0,55
55,21,0.0,55
55,21,0.0,55
55,25,0.0,55
55,25,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,25,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,25,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,21,0.0,55
55,25,0.0,55
55,25,0.0,55
55,21,0.0,55
55,25,0.0,412
412,1,-1.0,751
47,1,0.0,47
47,1,0.0,47
47,1,0.0,47
47,1,0.0,47
47,1,0.0,47
47,1,0.0,47
47,1,0.0,47
47,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,195
195,1,0.0,195
195,1,0.0,195
195,1,0.0,195
195,1,0.0,195
195,1,0.0,367
367,5,0.0,367
367,1,0.0,367
367,1,0.0,367
367,1,0.0,528
528,1,0.0,47
47,1,0.0,367
367,1,0.0,367
367,1,0.0,367
367,1,0.0,367
367,1,0.0,696
696,1,0.0,367
367,1,0.0,696
696,1,0.0,696
696,1,0.0,696
696,1,0.0,696
696,1,0.0,696
696,1,0.0,696
696,1,0.0,195
195,1,0.0,195
195,1,0.0,604
604,1,0.0,604
604,1,0.0,604
604,1,0.0,90
90,22,0.0,430
430,22,0.0,430
430,17,0.0,100
100,17,0.0,488
488,17,0.0,488
488,22,0.0,100
100,22,0.0,100
100,22,0.0,100
100,22,0.0,100
100,22,0.0,100
100,22,0.0,270
270,22,0.0,270
270,22,0.0,270
270,22,0.0,270
270,24,0.0,270
270,25,0.0,270
270,20,0.0,270
270,15,0.0,241
241,5,0.0,241
241,25,0.0,241
241,20,0.0,241
241,15,0.0,241
241,15,0.0,97
97,15,0.0,97
97,15,0.0,97
97,5,0.0,241
241,5,0.0,668
668,1,1.0,752
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,535
535,25,0.0,5
5,25,0.0,535
535,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,296
296,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,535
535,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,535
535,1,0.0,535
535,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,5
5,25,0.0,535
535,25,0.0,535
535,25,0.0,485
485,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,535
535,25,0.0,668
668,1,1.0,752
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,604
604,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,185
185,11,0.0,90
90,9,0.0,57
57,10,0.0,57
57,9,0.0,57
57,24,0.0,57
57,24,0.0,268
268,25,0.0,746
746,23,0.0,746
746,17,0.0,268
268,17,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,746
746,12,0.0,585
585,7,0.0,746
746,12,0.0,746
746,22,0.0,746
746,22,0.0,746
746,22,0.0,585
585,22,0.0,746
746,22,0.0,585
585,22,0.0,746
746,22,0.0,746
746,17,0.0,746
746,22,0.0,746
746,25,0.0,310
310,20,0.0,310
310,22,0.0,310
310,24,0.0,310
310,20,0.0,310
310,22,0.0,310
310,17,0.0,746
746,2,0.0,746
746,2,0.0,668
668,1,1.0,752
536,21,0.0,536
536,25,0.0,417
417,25,0.0,176
176,25,0.0,559
559,25,0.0,559
559,20,0.0,176
176,15,0.0,176
176,15,0.0,176
176,15,0.0,176
176,15,0.0,176
176,17,0.0,176
176,22,0.0,689
689,17,0.0,726
726,12,0.0,689
689,12,0.0,689
689,12,0.0,69
69,13,0.0,69
69,13,0.0,69
69,13,0.0,69
69,13,0.0,69
69,13,0.0,69
69,13,0.0,475
475,8,0.0,475
475,7,0.0,475
475,13,0.0,475
475,15,0.0,69
69,15,0.0,69
69,8,0.0,69
69,12,0.0,475
475,17,0.0,475
475,17,0.0,475
475,12,0.0,475
475,12,0.0,475
475,12,0.0,475
475,7,0.0,475
475,10,0.0,69
69,10,0.0,69
69,15,0.0,69
69,13,0.0,69
69,8,0.0,69
69,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,69
69,7,0.0,69
69,7,0.0,69
69,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,183
183,1,0.0,475
475,2,0.0,475
475,2,0.0,725
725,2,0.0,725
725,2,0.0,668
668,1,1.0,752
601,1,0.0,601
601,1,0.0,601
601,1,0.0,601
601,1,0.0,601
601,7,0.0,601
601,7,0.0,601
601,7,0.0,69
69,7,0.0,688
688,6,0.0,69
69,7,0.0,69
69,7,0.0,69
69,7,0.0,668
668,7,0.0,69
69,2,0.0,69
69,2,0.0,69
69,2,0.0,69
69,2,0.0,69
69,2,0.0,69
69,5,0.0,69
69,2,0.0,69
69,5,0.0,69
69,2,0.0,69
69,2,0.0,69
69,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,475
475,2,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,0.0,183
183,1,1.0,752
519,2,0.0,519
519,2,0.0,663
663,2,0.0,525
525,2,0.0,500
500,2,0.0,668
668,1,0.0,500
500,2,0.0,500
500,2,0.0,226
226,2,0.0,663
663,2,0.0,663
663,2,0.0,668
668,1,0.0,500
500,2,0.0,331
331,1,0.0,500
500,2,0.0,226
226,2,0.0,226
226,2,0.0,604
604,1,0.0,604
604,1,0.0,604
604,1,0.0,604
604,1,0.0,604
604,1,0.0,226
226,1,0.0,90
90,5,0.0,90
90,5,0.0,226
226,5,0.0,57
57,1,0.0,226
226,16,0.0,226
226,6,0.0,226
226,1,0.0,226
226,5,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,2,0.0,226
226,1,0.0,226
226,2,0.0,226
226,2,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,226
226,1,0.0,355
355,1,0.0,447
447,1,0.0,447
447,1,0.0,447
447,1,0.0,447
447,1,0.0,447
447,1,0.0,447
447,1,0.0,358
358,1,-1.0,751
219,25,0.0,219
219,25,0.0,219
219,25,0.0,219
219,25,0.0,219
219,25,0.0,219
219,25,0.0,219
219,25,0.0,219
219,25,0.0,219
219,25,0.0,219
219,25,0.0,219
219,24,0.0,219
219,25,0.0,219
219,24,0.0,219
219,25,0.0,321
321,25,0.0,321
321,25,0.0,321
321,25,0.0,321
321,25,0.0,321
321,25,0.0,321
321,25,0.0,321
321,25,0.0,321
321,25,0.0,321
321,25,0.0,219
219,25,0.0,291
291,24,0.0,219
219,25,0.0,219
219,24,0.0,219
219,24,0.0,219
219,25,0.0,219
219,23,0.0,219
219,18,0.0,219
219,23,0.0,219
219,23,0.0,219
219,23,0.0,219
219,25,0.0,219
219,18,0.0,219
219,13,0.0,219
219,20,0.0,219
219,20,0.0,219
219,13,0.0,219
219,13,0.0,219
219,13,0.0,224
224,5,0.0,224
224,5,0.0,224
224,3,0.0,579
579,3,0.0,579
579,3,0.0,579
579,4,0.0,579
579,5,0.0,579
579,3,0.0,579
579,3,0.0,579
579,3,0.0,579
579,3,0.0,579
579,3,0.0,579
579,5,0.0,579
579,4,0.0,579
579,4,0.0,579
579,4,0.0,579
579,5,0.0,579
579,4,0.0,579
579,4,0.0,579
579,4,0.0,579
579,4,0.0,251
251,1,1.0,752
289,6,0.0,289
289,6,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,363
363,7,0.0,363
363,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,1,0.0,397
397,7,0.0,642
642,7,0.0,642
642,6,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,1,0.0,642
642,7,0.0,642
642,1,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,251
251,1,1.0,752
489,1,0.0,703
703,11,0.0,289
289,15,0.0,642
642,10,0.0,642
642,6,0.0,642
642,6,0.0,642
642,6,0.0,642
642,6,0.0,642
642,6,0.0,642
642,6,0.0,642
642,6,0.0,642
642,6,0.0,642
642,7,0.0,642
642,7,0.0,642
642,10,0.0,642
642,7,0.0,642
642,10,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,12,0.0,642
642,12,0.0,642
642,12,0.0,642
642,12,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,22,0.0,642
642,7,0.0,642
642,7,0.0,642
642,22,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,363
363,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,642
642,7,0.0,661
661,7,0.0,642
642,7,0.0,642
642,7,0.0,363
363,2,0.0,642
642,2,0.0,642
642,7,0.0,325
325,7,0.0,642
642,7,0.0,325
325,1,-1.0,751
666,1,0.0,666
666,1,0.0,666
666,1,0.0,522
522,1,0.0,522
522,21,0.0,565
565,25,0.0,710
710,25,0.0,332
332,22,0.0,332
332,24,0.0,332
332,25,0.0,332
332,24,0.0,200
200,22,0.0,200
200,17,0.0,200
200,12,0.0,565
565,12,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,549
549,2,0.0,565
565,2,0.0,565
565,1,0.0,565
565,1,0.0,549
549,1,0.0,549
549,1,0.0,549
549,1,0.0,522
522,1,0.0,549
549,1,0.0,565
565,1,0.0,565
565,1,0.0,333
333,1,1.0,752
88,1,0.0,88
88,1,0.0,88
88,1,0.0,88
88,1,0.0,88
88,1,0.0,88
88,1,0.0,88
88,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,128
128,1,0.0,88
88,5,0.0,643
643,1,0.0,88
88,2,0.0,643
643,2,0.0,88
88,2,0.0,88
88,2,0.0,88
88,2,0.0,88
88,2,0.0,88
88,5,0.0,88
88,2,0.0,88
88,2,0.0,643
643,2,0.0,88
88,7,0.0,88
88,12,0.0,88
88,12,0.0,88
88,12,0.0,88
88,12,0.0,88
88,12,0.0,251
251,1,-1.0,751
601,1,0.0,601
601,1,0.0,601
601,1,0.0,695
695,2,0.0,285
285,1,0.0,285
285,1,0.0,285
285,2,0.0,285
285,2,0.0,394
394,2,0.0,394
394,2,0.0,394
394,2,0.0,394
394,2,0.0,77
77,2,0.0,237
237,22,0.0,394
394,17,0.0,394
